"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"PSA";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX ApKa";"CX BpKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA Lipinski";"HBD Lipinski";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles"
"CHEMBL2108494";"INTERFERON";"INTERFERON";"Protein";"4";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";""
"CHEMBL2109443";"F105";"F105";"Antibody";"1";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";""
"CHEMBL2109446";"KD-247";"KD-247";"Antibody";"1";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";""
"CHEMBL1237026";"TESAMORELIN";"TESAMORELIN|TH-9507|TH9507";"Protein";"4";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";""
"CHEMBL1236970";"ZINC ION";"ZINC ION";"Small molecule";"3";"65.39";"1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"MOL";"1";"";"";"";"";"63.9280";"";"Zn+2";"[Zn+2]"
"CHEMBL1201605";"DACLIZUMAB";"DACLIZUMAB|DACLIZUMAB BETA|RO-24-7375|ZENAPAX|ZINBRYTA";"Antibody";"4";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";""
"CHEMBL1201670";"SARGRAMOSTIM";"B1 61.012|B1-61012|LEUKINE|RHU GM-CSF|RHU-GM-CSF|SARGRAMOSTIM";"Protein";"4";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";""
"CHEMBL1200380";"ACYCLOVIR SODIUM";"ACICLOVIR SODIUM|ACYCLOVIR|ACYCLOVIR SODIUM|ACYCLOVIR SODIUM SALT|Acyclovir|BW 248U|BW 248U SODIUM|BW-248U-SODIUM|ZOVIRAX";"Small molecule";"4";"247.19";"0";"";"-0.92";"119.31";"8";"3";"0";"4";"N";"0.58";"11.58";"1.01";"-0.56";"-0.56";"2";"MOL";"0";"16";"8";"4";"0";"225.0862";"NEUTRAL";"C8H10N5NaO3";"Nc1nc([O-])c2ncn(COCCO)c2n1.[Na+]"
"CHEMBL1200680";"SELENIUM SULFIDE";"EXSEL|LENIUM|SELENIUM DISULFIDE|SELENIUM SULFIDE|SELSUN|Selenium sulfide";"Small molecule";"4";"143.09";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MOL";"1";"";"";"";"";"143.8607";"";"S2Se";"S=[Se]=S"
"CHEMBL180971";"Peptide T";"PEPTIDE T|Peptide T";"Protein";"2";"857.87";"1";"1";"-7.85";"431.49";"16";"16";"3";"24";"N";"0.05";"3.65";"20.04";"-10.26";"-10.34";"1";"BOTH";"0";"60";"25";"18";"3";"857.3767";"ZWITTERION";"C35H55N9O16";"C[C@H](N)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)O)[C@@H](C)O)[C@@H](C)O)[C@@H](C)O)[C@@H](C)O"
"CHEMBL1201099";"CODEINE PHOSPHATE";"AMBENYL COUGH SYRUP|BEPRO|CODEINE|CODEINE PHOSPHATE|CODEINE PHOSPHATE CII|CODEINE PHOSPHATE HEMIHYDRATE|CODEINE PHOSPHATE HYDRATE|COLREX COMPOUND|EVACODE|GALCODINE|METHYLMORPHINE";"Small molecule";"4";"415.38";"0";"";"1.50";"41.93";"4";"1";"0";"1";"N";"0.80";"13.78";"9.19";"1.34";"-0.45";"1";"MOL";"0";"22";"4";"1";"0";"299.1521";"BASE";"C18H26NO8P";"COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314.O.O=P(O)(O)O"
"CHEMBL1200678";"ATAZANAVIR SULFATE";"ATAZANAVIR SULFATE|BMS-232632-05|REYATAZ";"Small molecule";"4";"802.95";"0";"";"4.21";"171.22";"9";"5";"1";"14";"N";"0.15";"11.92";"4.42";"4.54";"4.54";"3";"MOL";"0";"51";"13";"5";"2";"704.3897";"NEUTRAL";"C38H54N6O11S";"COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C.O=S(=O)(O)O"
"CHEMBL1201560";"PEGINTERFERON ALFA-2A";"PEGASYS|PEGINTERFERON ALFA-2A|RO 25-8310/000|ROFERON-A";"Protein";"4";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";""
"CHEMBL1201799";"SEVELAMER CARBONATE";"GT-335-012|GT335-012|RENVELA|SEVELAMER CARBONATE|Sevelamer carbonate";"Small molecule";"4";"211.65";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MOL";"0";"";"";"";"";"149.0607";"";"C7H14ClNO4";"C=CCN.ClCC1CO1.O=C(O)O"
"CHEMBL1201563";"INTERFERON BETA-1B";"BETASERON|Extavia|INTERFERON BETA-1B";"Protein";"4";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";""
"CHEMBL1201821";"PALIFERMIN";"KEPIVANCE|PALIFERMIN";"Protein";"4";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";""
"CHEMBL1201482";"PROTEASE (PANCRELIPASE)";"PROTEASE (PANCRELIPASE)|Protease";"Enzyme";"4";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";""
"CHEMBL1201621";"SOMATROPIN";"ACCRETROPIN|ASELLACRIN 10|ASELLACRIN 2|BIO-TROPIN|CB-311|CRESCORMON|DA-3002|GENOTROPIN|GENOTROPIN GOQUICK|GENOTROPIN KABIPEN|GENOTROPIN KABIQUICK|GENOTROPIN KABIVIAL|GENOTROPIN MINIQUICK|GENOTROPIN PRESERVATIVE FREE|Genotropin [rDNA origin]|HUMATROPE|HumatroPen|LY-137998|LY137998|NORDITROPIN|NORDITROPIN FLEXPRO|NORDITROPIN NORDIFLEX|NORDITROPIN PENSET|NORDITROPIN SIMPLEXX|NUTROPIN|NUTROPIN AQ|NUTROPIN AQ NUSPIN|NUTROPIN AQ PEN|NUTROPIN DEPOT|NUTROPINAQ|OMNITROPE|OMNITROPE PEN 10|OMNITROPE PEN 5|OMNITROPE SUREPAL 10|OMNITROPE SUREPAL 15|OMNITROPE SUREPAL 5|SAIZEN|SAIZEN CLICK.EASY|SAIZEN EASYJECT|SEROSTIM|SEROSTIM LQ|SOMATOTROPIN HUMAN GROWTH HORMONE|SOMATROPIN|SOMATROPIN RECOMBINANT|Tev-Tropin|VALTROPIN|ZOMACTON|ZORBTIVE";"Protein";"4";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";""
"CHEMBL1201570";"ANAKINRA";"ANAKINRA|ANTRIL|KINERET";"Protein";"4";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";""
"CHEMBL1201564";"INTERFERON GAMMA-1B";"ACTIMMUNE|IMMUKIN|INTERFERON .GAMMA.-1B|INTERFERON GAMMA|INTERFERON GAMMA-1B|INTERFERON GAMMA-2A|Interferon gama-1b";"Protein";"4";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";""
"CHEMBL430488";"TALVIRALINE";"HBY 097|HBY-097|TALVIRALINE";"Small molecule";"2";"340.47";"1";"1";"3.53";"50.80";"5";"1";"0";"4";"N";"0.85";"8.31";"";"3.14";"3.10";"1";"MOL";"0";"22";"5";"1";"0";"340.0915";"NEUTRAL";"C15H20N2O3S2";"COc1ccc2c(c1)N(C(=O)OC(C)C)[C@@H](CSC)C(=S)N2"
"CHEMBL1200539";"CALCIUM CARBONATE";"ADCAL|Albacar|CACIT|CAL-SUP|CALC 500|CALCETTE|CALCICHEW|CALCICHEW FTE|CALCIDRINK|CALCIUM CARBONATE|CHALK|CHALK, PRECIPITATED|CHILDREN'S MYLANTA UPSET STOMACH RELIEF|CHOOZ|CITRICAL|E-170(I)|E170|INS NO.170(I)|INS-170(I)|MYLANTA SOOTHING LOZENGES|NDI 443|OS-CAL|PRECIPITATED CALCIUM CARBONATE|PRECPITATED CALCIUM CARBONATE|Precipitated Calcium Carbonate|Purecal|REMEGEL|RENNIE|RENNIE FRUIT|RENNIE GOLD|SETLERS|TITRALAC|TUMS";"Small molecule";"4";"100.09";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MOL";"0";"";"";"";"";"99.9473";"";"CCaO3";"O=C([O-])[O-].[Ca+2]"
"CHEMBL1201561";"PEGINTERFERON ALFA-2B";"PEGINTERFERON ALFA-2B|PEGINTRON|Peg-Intron";"Protein";"4";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";""
"CHEMBL1200640";"FERROUS FUMARATE";"FEOSTAT|FERROUS FUMARATE|FERSADAY|FERSAMAL|GALFER|METERFER|TOLERON";"Small molecule";"4";"169.90";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"169.9302";"";"C4H2FeO4";""
