"Parent Molecule ChEMBL ID";"Parent Molecule Name";"Parent Molecule Type";"Max Phase";"First Approval";"USAN Stem";"Smiles";"Mechanism of Action";"Mechanism Comment";"Selectivity Comment";"Target ChEMBL ID";"Target Name";"Action Type";"Target Type";"Target Organism";"Binding Site Name";"Binding Site Comment";"References";"Synonyms";"ATC Codes";"Level 4 ATC Codes";"Level 3 ATC Codes";"Level 2 ATC Codes";"Level 1 ATC Codes";"Parent Molecule ChEMBL ID"
"CHEMBL82301";"VICRIVIROC";"Small molecule";"3";"";"'-vir-; -viroc'";"COC[C@@H](c1ccc(C(F)(F)F)cc1)N1CCN(C2(C)CCN(C(=O)c3c(C)ncnc3C)CC2)C[C@@H]1C";"C-C chemokine receptor type 5 antagonist";"Discontinueddue to disappointing results in Ph2 and Ph3 studies.";"";"CHEMBL274";"C-C chemokine receptor type 5";"ANTAGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: PubMed RefID: 16304152 URL: http://europepmc.org/abstract/MED/16304152";"Vicriviroc Maleate (MI, USAN)|Vicriviroc (INN, MI)|";"";"";"";"";"";"CHEMBL82301"
"CHEMBL52440";"DEXTROMETHORPHAN";"Small molecule";"4";"1982";"'-orphan'";"COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3";"Sigma opioid receptor agonist";"";"";"CHEMBL287";"Sigma opioid receptor";"AGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: PubMed RefID: 2897648 URL: http://europepmc.org/abstract/MED/2897648|Type: Wikipedia RefID: Dextromethorphan URL: http://en.wikipedia.org/wiki/Dextromethorphan|Type: Wikipedia RefID: Nmda_receptor_antagonist URL: http://en.wikipedia.org/wiki/Nmda_receptor_antagonist";"Dextromethorphan Polistirex (FDA, USAN)|Dextromethorphan Hydrobromide (BAN, FDA, JAN, USP)|Deudextromethorphan (USAN)|Dextromethorphan (BAN, INN, USP)|Deudextromethorphan hydrobromide (USAN)|";"N07XX59 | R05DA09";"N07XX - Other nervous system drugs | R05DA - Opium alkaloids and derivatives";"N07X - OTHER NERVOUS SYSTEM DRUGS | R05D - COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS";"N07 - OTHER NERVOUS SYSTEM DRUGS | R05 - COUGH AND COLD PREPARATIONS";"N - NERVOUS SYSTEM | R - RESPIRATORY SYSTEM";"CHEMBL52440"
"CHEMBL1535";"HYDROXYCHLOROQUINE";"Small molecule";"4";"1955";"";"CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12";"Toll-like receptor 7 antagonist";"";"";"CHEMBL5936";"Toll-like receptor 7";"ANTAGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: FDA RefID: label/2007/009768s041lbl.pdf URL: http://www.accessdata.fda.gov/drugsatfda_docs/label/2007/009768s041lbl.pdf|Type: PubMed RefID: 17970883 URL: http://europepmc.org/abstract/MED/17970883|Type: PubMed RefID: 18220957 URL: http://europepmc.org/abstract/MED/18220957";"Hydroxychloroquine sulfate (FDA, USP)|Hydroxychloroquine Sulfate (MI)|Hydroxychloroquine (BAN, INN, MI)|";"P01BA02";"P01BA - Aminoquinolines";"P01B - ANTIMALARIALS";"P01 - ANTIPROTOZOALS";"P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS";"CHEMBL1535"
"CHEMBL370143";"PAROMOMYCIN";"Small molecule";"4";"1969";"'-mycin'";"NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O";"Bacterial 70S ribosome inhibitor";"";"";"CHEMBL2363135";"Bacterial 70S ribosome";"INHIBITOR";"PROTEIN NUCLEIC-ACID COMPLEX";"Bacteria";"16S ribosomal RNA";"16s RRNA";"Type: DailyMed RefID: archiveid=103824 URL: http://www.dailymed.nlm.nih.gov/dailymed/archives/fdaDrugInfo.cfm?archiveid=103824|Type: PubMed RefID: 11587639 URL: http://europepmc.org/abstract/MED/11587639";"Paromomycin Sulfate (FDA, JAN, USP)|Paromomycin (BAN, INN, MI)|";"A07AA06";"A07AA - Antibiotics";"A07A - INTESTINAL ANTIINFECTIVES";"A07 - ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS";"A - ALIMENTARY TRACT AND METABOLISM";"CHEMBL370143"
"CHEMBL32";"MOXIFLOXACIN";"Small molecule";"4";"1999";"'-oxacin'";"COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12";"Bacterial DNA gyrase inhibitor";"";"";"CHEMBL2311224";"Bacterial DNA gyrase";"INHIBITOR";"PROTEIN COMPLEX";"Bacteria";"";"";"Type: DailyMed RefID: setid=56b4f979-bf20-4908-9d7c-5536221d77f8 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=56b4f979-bf20-4908-9d7c-5536221d77f8";"Moxifloxacin HCl (FDA, JAN, MI, USAN, USP)|Moxifloxacin (BAN, INN, MI)|";"J01MA14 | S01AE07";"J01MA - Fluoroquinolones | S01AE - Fluoroquinolones";"J01M - QUINOLONE ANTIBACTERIALS | S01A - ANTIINFECTIVES";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE | S01 - OPHTHALMOLOGICALS";"J - ANTIINFECTIVES FOR SYSTEMIC USE | S - SENSORY ORGANS";"CHEMBL32"
"CHEMBL98";"VORINOSTAT";"Small molecule";"4";"2006";"'-stat'";"O=C(CCCCCCC(=O)Nc1ccccc1)NO";"Histone deacetylase 2 inhibitor";"";"";"CHEMBL1937";"Histone deacetylase 2";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: DailyMed RefID: setid=cd86ee78-2781-468b-930c-3c4677bcc092#section-13 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=cd86ee78-2781-468b-930c-3c4677bcc092#section-13";"Vorinostat (FDA, INN, JAN, MI, USAN)|";"L01XX38";"L01XX - Other antineoplastic agents";"L01X - OTHER ANTINEOPLASTIC AGENTS";"L01 - ANTINEOPLASTIC AGENTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"CHEMBL98"
"CHEMBL1200807";"NORELGESTROMIN";"Small molecule";"4";"2001";"'-estr-; -gest-'";"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC";"Progesterone receptor agonist";"";"";"CHEMBL208";"Progesterone receptor";"AGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: DailyMed RefID: setid=f8e8a69e-a018-469a-af56-e20f61fe4e06#nlm34090-1 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f8e8a69e-a018-469a-af56-e20f61fe4e06#nlm34090-1";"Deacetylnorgestimate (USP)|Norelgestromin (BAN, FDA, INN, MI, USAN)|";"";"";"";"";"";"CHEMBL1200807"
"CHEMBL1535";"HYDROXYCHLOROQUINE";"Small molecule";"4";"1955";"";"CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12";"Ferriprotoporphyrin IX inhibitor";"inhibits polymerisation";"";"CHEMBL613897";"Ferriprotoporphyrin IX";"INHIBITOR";"SMALL MOLECULE";"Plasmodium falciparum";"";"";"Type: PubMed RefID: 14967191 URL: http://europepmc.org/abstract/MED/14967191|Type: Wikipedia RefID: Hemozoin URL: http://en.wikipedia.org/wiki/Hemozoin";"Hydroxychloroquine sulfate (FDA, USP)|Hydroxychloroquine Sulfate (MI)|Hydroxychloroquine (BAN, INN, MI)|";"P01BA02";"P01BA - Aminoquinolines";"P01B - ANTIMALARIALS";"P01 - ANTIPROTOZOALS";"P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS";"CHEMBL1535"
"CHEMBL112";"ACETAMINOPHEN";"Small molecule";"4";"1968";"";"CC(=O)Nc1ccc(O)cc1";"Cyclooxygenase inhibitor";"";"";"CHEMBL2094253";"Cyclooxygenase";"INHIBITOR";"PROTEIN FAMILY";"Homo sapiens";"";"";"Type: PubMed RefID: 12660052 URL: http://europepmc.org/abstract/MED/12660052|Type: PubMed RefID: 15662292 URL: http://europepmc.org/abstract/MED/15662292|Type: PubMed RefID: 15987694 URL: http://europepmc.org/abstract/MED/15987694|Type: PubMed RefID: 17884974 URL: http://europepmc.org/abstract/MED/17884974|Type: PubMed RefID: 20862299 URL: http://europepmc.org/abstract/MED/20862299|Type: Wikipedia RefID: Acetaminophen#Mechanism_of_action URL: http://en.wikipedia.org/wiki/Acetaminophen#Mechanism_of_action";"Acetaminophen (FDA, JAN, MI, USP)|Paracetamol (BAN, DCF, INN)|";"N02BE71 | N02BE51 | N02BE01";"N02BE - Anilides | N02BE - Anilides | N02BE - Anilides";"N02B - OTHER ANALGESICS AND ANTIPYRETICS | N02B - OTHER ANALGESICS AND ANTIPYRETICS | N02B - OTHER ANALGESICS AND ANTIPYRETICS";"N02 - ANALGESICS | N02 - ANALGESICS | N02 - ANALGESICS";"N - NERVOUS SYSTEM | N - NERVOUS SYSTEM | N - NERVOUS SYSTEM";"CHEMBL112"
"CHEMBL25";"ASPIRIN";"Small molecule";"4";"1950";"";"CC(=O)Oc1ccccc1C(=O)O";"Cyclooxygenase inhibitor";"";"";"CHEMBL2094253";"Cyclooxygenase";"INHIBITOR";"PROTEIN FAMILY";"Homo sapiens";"";"";"Type: PubMed RefID: 17131625 URL: http://europepmc.org/abstract/MED/17131625|Type: PubMed RefID: 17258197 URL: http://europepmc.org/abstract/MED/17258197|Type: Wikipedia RefID: Aspirin#Mechanism_of_action URL: http://en.wikipedia.org/wiki/Aspirin#Mechanism_of_action";"Aspirin (BAN, FDA, JAN, MI, USP)|Aspirin dl-lysine (JAN)|Lysine acetylsalicylate (MI)|";"N02BA01 | N02BA51 | N02BA71 | A01AD05 | B01AC06";"N02BA - Salicylic acid and derivatives | N02BA - Salicylic acid and derivatives | N02BA - Salicylic acid and derivatives | A01AD - Other agents for local oral treatment | B01AC - Platelet aggregation inhibitors excl. heparin";"N02B - OTHER ANALGESICS AND ANTIPYRETICS | N02B - OTHER ANALGESICS AND ANTIPYRETICS | N02B - OTHER ANALGESICS AND ANTIPYRETICS | A01A - STOMATOLOGICAL PREPARATIONS | B01A - ANTITHROMBOTIC AGENTS";"N02 - ANALGESICS | N02 - ANALGESICS | N02 - ANALGESICS | A01 - STOMATOLOGICAL PREPARATIONS | B01 - ANTITHROMBOTIC AGENTS";"N - NERVOUS SYSTEM | N - NERVOUS SYSTEM | N - NERVOUS SYSTEM | A - ALIMENTARY TRACT AND METABOLISM | B - BLOOD AND BLOOD FORMING ORGANS";"CHEMBL25"
